sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AG0147-C,2614,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.152,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-100.74502,-50.12938,76.95987,-92.06756,97.38089,51.598976,-26.12779,1.4004577,-63.19628,-4.907907
AG0159-C,2626,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.076,0.005,gamb_colu,gambiae,gambiae,-92.8952,-4.867434,1.392582,-16.565048,-18.884336,-131.57004,6.1945252,29.008827,-141.81487,-12.02738
AG0232-C,2761,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.107,0.005,gamb_colu,gambiae,gambiae,-80.518364,20.088263,-38.22838,30.594572,-20.354095,44.077236,-31.663912,-14.23951,100.393036,56.2846
AG0129-C,2596,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.077,0.005,gamb_colu,gambiae,gambiae,-94.33864,13.117419,-59.7632,44.865406,49.867466,10.548435,-92.35082,50.162254,42.12681,84.611595
AG0153-C,2620,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.09699999999999999,0.005,gamb_colu,gambiae,gambiae,-74.647644,-36.605175,12.992448,56.542812,21.220955,-60.452644,72.50182,16.666779,24.398674,-86.83055
AG0163-C,2630,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.087,0.005,gamb_colu,gambiae,gambiae,-84.12023,-36.999725,8.463672,83.57509,-4.952436,-122.19298,48.36348,97.48585,-5.6112185,-41.552406
AG0200-C,2698,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.948,0.005,gamb_colu,coluzzii,coluzzii,42.06495,-32.613197,10.168675,12.611947,0.37700054,6.170939,4.4851975,3.4628885,5.820204,1.3166178
AG0209-C,2707,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.9279999999999999,0.005,gamb_colu,coluzzii,coluzzii,39.0321,-31.503658,5.821326,6.7754154,0.9039136,-0.45439705,-13.18241,11.266533,18.003813,5.48973
AG0229-C,2758,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.079,0.005,gamb_colu,gambiae,gambiae,-97.14877,12.872404,14.766676,90.0118,7.3074694,-50.697456,-21.057753,-97.75651,-9.454733,34.810562
AG0230-C,2759,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.11,0.004,gamb_colu,gambiae,gambiae,-78.469345,10.758181,4.7408,25.075932,-28.426615,12.663216,62.986187,39.13049,44.5498,-45.4764
AG0098-C,2534,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.08,0.005,gamb_colu,gambiae,gambiae,-108.1921,-25.227804,49.11152,-53.668987,41.49992,118.203964,-90.319824,-122.83456,-57.044464,-5.521157
AG0104-C,2540,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.077,0.005,gamb_colu,gambiae,gambiae,-91.89679,28.156897,-32.57284,0.74079895,-17.298513,-12.17838,15.354938,88.315674,1.5625576,-3.2318854
AG0106-C,2542,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.073,0.006,gamb_colu,gambiae,gambiae,-93.82302,22.375877,8.576738,9.899516,11.063323,-42.30136,-90.61066,-19.941732,36.332478,82.709496
AG0120-C,2556,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.11800000000000001,0.005,gamb_colu,gambiae,gambiae,-97.792946,11.117582,-31.260654,52.684734,43.169773,-14.60815,10.414888,0.06692024,60.008415,-5.862941
AG0136-C,2603,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.078,0.004,gamb_colu,gambiae,gambiae,-96.84739,-29.226822,41.4905,-67.19313,-113.02749,-117.33872,-11.700063,-2.2487466,12.230046,11.908096
AG0141-C,2608,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.102,0.005,gamb_colu,gambiae,gambiae,-83.09988,37.628513,-61.772484,-11.862276,-26.931597,57.55997,22.04101,61.32307,10.75068,15.891252
AG0145-C,2612,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.07,0.005,gamb_colu,gambiae,gambiae,-111.36148,-30.06396,75.85991,-143.3574,-149.47655,-111.0788,-64.04883,30.96101,-11.868385,47.47582
AG0148-C,2615,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.08199999999999999,0.004,gamb_colu,gambiae,gambiae,-99.16933,-55.13139,20.30472,32.549175,27.284569,76.28185,-7.3144317,-29.5481,-39.992477,-45.54096
AG0172-C,2639,Martin Donnelly,"Gambia, The",Njabakunda,2011,9,13.55,-15.9,F,AG1000G-GM-A,v3,0.12,0.006999999999999999,gamb_colu,gambiae,gambiae,-91.83297,73.88278,-0.92076015,-24.210829,-83.08441,14.926713,-3.0781553,-98.62572,-30.818712,-22.682356
AG0179-C,2677,Martin Donnelly,"Gambia, The",Njabakunda,2011,9,13.55,-15.9,F,AG1000G-GM-A,v3,0.08,0.006,gamb_colu,gambiae,gambiae,-83.76755,58.23643,-24.818214,108.76937,57.70272,3.8956163,-62.551483,92.76414,-31.540245,80.08991
AG0223-C,2721,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.075,0.005,gamb_colu,gambiae,gambiae,-83.15491,-10.158671,-22.718987,64.4877,-9.067919,19.64373,7.930895,-1.0578058,55.38026,33.72865
AG0118-C,2554,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.133,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-90.93332,70.64379,12.475344,-31.12866,-88.93084,-18.79497,17.352943,-74.354836,0.794629,-7.148
AG0119-C,2555,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.077,0.004,gamb_colu,gambiae,gambiae,-88.47201,1.9340631,46.67192,-0.6080408,-38.63795,113.119576,15.172326,-18.613903,-55.45245,-19.954262
AG0121-C,2557,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.10400000000000001,0.005,gamb_colu,gambiae,gambiae,-103.05001,-100.65947,-346.34717,-117.03034,6.7221193,4.600169,27.362936,-33.163597,-1.2069612,-16.357473
AG0133-C,2600,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.061,0.004,gamb_colu,gambiae,gambiae,-92.81172,-31.964035,6.914095,-65.3221,39.786297,28.207888,41.069187,-33.32912,18.50772,-21.765615
AG0134-C,2601,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.08,0.004,gamb_colu,gambiae,gambiae,-91.82322,-31.97934,36.04527,-4.878028,13.978075,9.460907,16.523024,47.837273,46.53521,20.936516
AG0138-C,2605,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.078,0.004,gamb_colu,gambiae,gambiae,-100.41165,-45.389145,24.464693,-8.139082,-124.90782,-60.995304,13.043262,-30.802275,51.253082,-20.27567
AG0227-C,2725,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.12,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-91.48213,28.866005,5.508251,43.933163,28.271023,-32.984295,-64.75945,-47.31624,36.386642,72.14018
AG0231-C,2760,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.094,0.005,gamb_colu,gambiae,gambiae,-75.943016,20.036173,-0.6106652,35.090225,-9.334959,-41.35059,45.409588,-8.474304,-42.495995,-39.82269
AG0102-C,2538,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.084,0.006,gamb_colu,gambiae,gambiae,-106.10022,15.116134,-5.8603926,46.49634,-8.898968,31.368017,-24.167627,-61.24899,-9.542216,68.773605
AG0108-C,2544,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.098,0.006,gamb_colu,gambiae,gambiae,-81.908356,57.154846,29.834354,-29.922964,-62.643482,13.555681,7.7666063,-5.2548823,37.92803,26.816349
AG0123-C,2559,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.087,0.004,gamb_colu,gambiae,gambiae,-99.14616,35.479843,80.64349,-161.82336,218.31694,-46.049496,142.3016,-5.520688,51.05808,31.492989
AG0128-C,2595,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.077,0.006,gamb_colu,gambiae,gambiae,-93.02417,1.0623142,-0.31063733,13.403778,21.199945,24.810528,-18.509325,-13.248096,-9.840308,-2.970126
AG0137-C,2604,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.10099999999999999,0.005,gamb_colu,gambiae,gambiae,-104.8541,-16.251766,30.552614,35.117077,-28.454176,-7.7564836,-26.690126,-73.42224,-1.4558872,-36.967777
AG0139-C,2606,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.087,0.004,gamb_colu,gambiae,gambiae,-85.561806,-26.585276,4.0104856,-2.5342884,3.160813,-22.709854,-11.080159,39.820885,-0.39784276,19.259398
AG0143-C,2610,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.096,0.005,gamb_colu,gambiae,gambiae,-105.152016,1.9690524,41.270866,34.85148,20.720407,-49.38609,-43.704304,-46.24821,91.099846,53.346222
AG0162-C,2629,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.094,0.006,gamb_colu,gambiae,gambiae,-82.14265,2.013818,9.559672,-86.04327,85.802,-16.769503,-17.854511,8.611553,-72.142426,-0.5341207
AG0170-C,2637,Martin Donnelly,"Gambia, The",Njabakunda,2011,9,13.55,-15.9,F,AG1000G-GM-A,v3,0.11,0.004,gamb_colu,gambiae,gambiae,-81.463715,-14.231661,21.502089,-5.6222415,-23.736769,-3.9294286,-26.934673,41.413807,-24.399986,59.90336
AG0181-C,2679,Martin Donnelly,"Gambia, The",Njabakunda,2011,9,13.55,-15.9,F,AG1000G-GM-A,v3,0.127,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-82.538864,27.267374,6.5579414,-55.347336,-44.156086,-7.856946,-7.435002,101.489395,-17.656876,3.30048
AG0085-C,2521,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.08900000000000001,0.005,gamb_colu,gambiae,gambiae,-102.36211,27.648346,68.79024,-136.96037,211.19403,-90.870155,150.14426,-7.727556,80.62129,31.1938
AG0096-C,2532,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.11699999999999999,0.006,gamb_colu,gambiae,gambiae,-77.81969,10.851714,-7.643053,-18.72115,9.616074,0.93886554,15.961011,-11.045438,35.362885,11.351626
AG0126-C,2562,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.10400000000000001,0.005,gamb_colu,gambiae,gambiae,-97.70911,36.41248,-7.743641,16.195776,-17.72307,3.1057377,35.545135,97.74506,-16.002825,-9.290773
AG0152-C,2619,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.08800000000000001,0.005,gamb_colu,gambiae,gambiae,-87.355515,-17.28201,-9.218264,27.250628,8.2793,36.39463,-0.6440994,-19.058445,17.342394,-45.059418
AG0183-C,2681,Martin Donnelly,"Gambia, The",Njabakunda,2011,9,13.55,-15.9,F,AG1000G-GM-A,v3,0.105,0.005,gamb_colu,gambiae,gambiae,-89.621895,60.37035,-1.2087988,23.966206,-36.947575,54.64278,0.47699085,13.793139,58.254898,22.090233
AG0208-C,2706,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.061,0.005,gamb_colu,gambiae,gambiae,-87.585526,-1.7864916,-13.488231,-4.714933,-8.620362,-11.085531,-38.297886,-24.587826,6.99455,36.38536
AG0214-C,2712,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.281,0.004,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-102.00926,-40.07854,42.620926,23.771948,-79.24031,129.61041,89.78102,72.467354,103.76684,-43.272488
AG0226-C,2724,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.11900000000000001,0.004,gamb_colu,gambiae,gambiae,-92.598625,-94.02149,-323.90137,-81.710045,-2.5184216,-9.596338,18.481749,-61.894844,7.0055404,-4.585358
AG0127-C,2563,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.135,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-69.949646,25.840729,-0.8055813,10.853672,-9.476609,-5.828952,43.212475,36.696526,-16.336872,-6.0337276
AG0130-C,2597,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.924,0.005,gamb_colu,coluzzii,coluzzii,33.881596,6.5674396,0.06620478,-6.292,0.1625534,-3.4599977,-10.253546,-2.0159729,4.5159917,-7.416973
AG0135-C,2602,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.917,0.006,gamb_colu,coluzzii,coluzzii,37.988792,44.076622,-9.379011,-3.552654,-4.386604,-0.21319048,15.800489,-24.379189,-31.81169,-19.937544
AG0144-C,2611,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.07,0.005,gamb_colu,gambiae,gambiae,-98.941536,-32.9878,41.6719,-91.70215,-122.036514,-121.23097,-7.073312,60.72914,-91.03527,24.415516
AG0156-C,2623,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.096,0.005,gamb_colu,gambiae,gambiae,-93.37581,19.09616,-73.74255,30.151693,19.111412,15.543917,27.292965,46.4935,5.656163,38.89262
AG0206-C,2704,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.15,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-98.452515,21.226206,35.38644,-20.614582,36.771507,11.648965,-28.023144,-70.045906,11.394077,9.351617
AG0221-C,2719,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.10099999999999999,0.005,gamb_colu,gambiae,gambiae,-101.14592,21.14663,14.26525,-7.3352146,-46.05239,39.299652,-10.040848,-95.479935,14.860734,30.4828
AG0234-C,2763,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.898,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,23.485641,28.901796,-8.449812,-15.348945,-2.0095332,-1.908914,-19.416948,6.8301797,11.306364,-14.927387
AG0082-C,2518,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.076,0.004,gamb_colu,gambiae,gambiae,-109.88985,-62.152706,45.12574,-38.71444,4.6925855,89.85135,-69.34832,-74.307365,-100.06117,-32.16346
AG0097-C,2533,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.113,0.006,gamb_colu,gambiae,gambiae,-78.61714,16.097538,-21.331545,21.317392,-8.096427,61.714226,2.5349176,56.467346,82.31887,10.470346
AG0100-C,2536,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.124,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-88.02741,-7.0895123,33.692005,64.23629,-17.92583,14.359825,26.38232,-15.045031,90.99302,-18.378195
AG0109-C,2545,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.075,0.006,gamb_colu,gambiae,gambiae,-91.03965,32.170147,-46.689793,121.19261,30.645971,-47.28017,15.795293,64.9402,-36.856125,24.504398
AG0124-C,2560,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.079,0.005,gamb_colu,gambiae,gambiae,-98.7411,-29.217049,-19.41126,94.40407,34.077244,-131.72382,-24.815668,-105.12174,0.68827367,-24.231539
AG0142-C,2609,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.075,0.006,gamb_colu,gambiae,gambiae,-90.38783,28.604124,21.445133,-45.04553,13.282582,82.22466,-21.890116,33.023125,0.40651768,-14.938039
AG0146-C,2613,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.061,0.004,gamb_colu,gambiae,gambiae,-110.01646,-37.427013,19.496534,5.00414,-4.3158126,69.704445,-55.478973,43.526176,42.534893,11.4402685
AG0169-C,2636,Martin Donnelly,"Gambia, The",Njabakunda,2011,9,13.55,-15.9,F,AG1000G-GM-A,v3,0.10300000000000001,0.005,gamb_colu,gambiae,gambiae,-92.82444,-29.296621,39.402084,70.45718,7.019795,-8.740155,107.102745,-9.749878,65.75874,-92.34684
AG0178-C,2676,Martin Donnelly,"Gambia, The",Njabakunda,2011,9,13.55,-15.9,F,AG1000G-GM-A,v3,0.08800000000000001,0.005,gamb_colu,gambiae,gambiae,-89.555534,-13.08072,-15.876511,16.935621,59.34465,26.225517,6.56311,28.54149,-22.103394,-11.287587
AG0195-C,2693,Martin Donnelly,"Gambia, The",Njabakunda,2011,9,13.55,-15.9,F,AG1000G-GM-A,v3,0.33,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-88.33504,18.299381,4.6507163,39.29909,-12.316087,-9.516418,-19.797056,-42.99384,30.8191,5.0752106
AG0089-C,2525,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.064,0.005,gamb_colu,gambiae,gambiae,-110.36819,-60.357002,55.359085,10.05418,95.205574,31.753212,-93.437614,-45.16174,-93.795494,-73.64312
AG0111-C,2547,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.06,0.004,gamb_colu,gambiae,gambiae,-102.6937,-12.383437,7.4301877,66.498405,14.633632,-124.06621,-13.882527,9.75927,-136.8539,-57.917866
AG0125-C,2561,Martin Donnelly,"Gambia, The",Njabakunda,2011,8,13.55,-15.9,F,AG1000G-GM-A,v3,0.073,0.005,gamb_colu,gambiae,gambiae,-104.169624,-48.167057,9.885812,58.099613,10.083033,-77.59138,14.132723,-124.19297,52.73542,-43.715504
AG0197-C,2695,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.099,0.006,gamb_colu,gambiae,gambiae,-87.01644,74.40068,5.0774326,-49.658604,-12.924226,69.724014,46.393448,-9.52129,-26.934637,-37.943623
AG0202-C,2700,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.087,0.004,gamb_colu,gambiae,gambiae,-95.33357,-7.116755,18.752457,-16.284918,-54.99271,59.10506,44.312187,105.108795,-16.85383,-30.445211
AG0203-C,2701,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.061,0.006,gamb_colu,gambiae,gambiae,-102.03373,-4.3318257,-14.011999,64.01787,49.96282,-8.659143,-55.087772,75.150116,-95.467766,37.137066
AG0204-C,2702,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.145,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,-76.47847,21.082008,27.954615,-24.67173,-25.153925,6.246015,2.6853411,-68.24693,14.725522,66.05525
AG0225-C,2723,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.9079999999999999,0.006,gamb_colu,coluzzii,coluzzii,34.684124,37.72828,-5.6758685,-7.946337,0.71184105,2.652126,2.4413176,-12.231874,-15.430391,-22.03458
AG0263-C,2792,Martin Donnelly,"Gambia, The",Njabakunda,2011,10,13.55,-15.9,F,AG1000G-GM-A,v3,0.067,0.005,gamb_colu,gambiae,gambiae,-97.47501,2.1474605,3.4574287,60.70222,-26.325558,43.855152,75.43572,-16.895773,-7.6168356,-119.27933
AG0382-CW,001-1048,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.8440000000000001,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,39.328476,-8.555786,0.9956437,-1.7738682,3.284334,-5.969674,-13.679235,8.6293955,8.822022,9.958554
AG0383-CW,001-1049,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.9390000000000001,0.005,gamb_colu,coluzzii,coluzzii,29.61226,15.028342,-2.2260926,-3.2428539,-3.461915,-14.511043,-10.742556,16.648924,2.3632116,-11.911361
AG0386-CW,001-1058,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,F,AG1000G-GM-B,v3,0.925,0.005,gamb_colu,coluzzii,coluzzii,40.50767,-10.415552,2.1082935,2.2041883,-10.296766,-2.6713479,-10.487981,18.302595,10.445765,1.3542613
AG0390-CW,001-1076,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.904,0.005,gamb_colu,coluzzii,coluzzii,36.995907,-3.1806195,3.1943984,10.959691,-4.5284457,10.041952,1.9901667,2.781469,-4.7467885,16.155087
AG0394-CW,001-1094,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.89,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,34.293686,-41.60612,6.028837,-8.452995,2.833787,-8.91787,-37.653,0.87444896,27.29082,-13.789522
AG0395-CW,001-1097,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.919,0.006,gamb_colu,coluzzii,coluzzii,25.698906,70.22699,-12.588493,-9.978592,3.6072845,-0.31885996,-4.117721,-15.169244,-8.518701,-20.991331
AG0396-CW,001-1100,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.9159999999999999,0.006,gamb_colu,coluzzii,coluzzii,42.447647,-37.664352,5.2686834,-2.9869058,-3.6801746,-0.58014154,-3.71638,3.2054255,2.1579452,3.6089258
AG0403-CW,001-1123,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.929,0.004,gamb_colu,coluzzii,coluzzii,44.95075,-51.299187,12.822952,18.21247,-6.12522,7.823201,30.52033,-3.5641205,-9.666939,2.302556
AG0404-CW,001-1127,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.8809999999999999,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,43.282387,-52.524204,13.958128,9.333747,-4.765844,10.642649,17.970951,11.285195,4.728446,24.61075
AG0405-CW,001-1131,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.887,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,29.612314,-19.922943,-6.0788937,3.5779939,-2.3178015,-0.4621751,10.070402,6.7244725,10.261093,11.294032
AG0406-CW,001-1134,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.9540000000000001,0.005,gamb_colu,coluzzii,coluzzii,31.350025,6.3530746,-1.5650517,-26.93659,12.067256,-14.9611025,-27.518866,-0.58300114,14.423786,-29.953587
AG0410-CW,001-1149,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.9009999999999999,0.006,gamb_colu,coluzzii,coluzzii,35.55036,1.7060212,2.0570424,-12.275107,8.69675,-6.6783023,-8.148626,-1.2574692,-4.890639,-0.07979478
AG0411-CW,001-1153,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.905,0.004,gamb_colu,coluzzii,coluzzii,37.01802,-5.3269973,3.7019544,8.393106,5.041253,11.587467,26.64848,-34.0022,-13.350432,26.251678
AG0412-CW,001-1159,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.929,0.004,gamb_colu,coluzzii,coluzzii,43.273247,-44.545734,8.644624,5.3045616,-3.9902577,-1.9602042,21.527754,0.21840996,-12.617492,9.388018
AG0415-CW,001-1168,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.93,0.005,gamb_colu,coluzzii,coluzzii,36.056995,-40.216217,1.3137345,-14.051973,11.157828,-3.043345,-14.377004,6.468017,23.385439,4.8948293
AG0416-CW,001-1183,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.93,0.006999999999999999,gamb_colu,coluzzii,coluzzii,27.492767,88.3079,-8.576335,-9.406463,-4.2423744,-2.3639655,8.112891,-27.039402,-20.988558,-1.6240195
AG0418-CW,001-1190,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.9259999999999999,0.005,gamb_colu,coluzzii,coluzzii,31.440376,5.6067576,-8.021454,2.7777083,6.3296385,-11.735157,-7.865872,5.843023,10.452853,-11.526906
AG0420-CW,001-1197,Beniamino Caputo,"Gambia, The",Tankular,2012,8,13.417,-16.033,UKN,AG1000G-GM-B,v3,0.78,0.005,gamb_colu,intermediate,intermediate_gambiae_coluzzii,31.371012,-6.049856,-3.7767417,6.49059,3.077831,-5.3593044,-5.0521016,9.904011,5.8115535,0.9355029
